model_name,epochs,train_mae,val_mae,train_mse,val_mse,val_r2,timestamp
cnn_baseline,30,0.18246948719024658,0.185164675116539,0.06624257564544678,0.06867815554141998,0.14568085968494415,2025-05-25 23:18:59
daniel_base,30,0.1985,0.2207,0.0743,0.0732,0.0531,2025-05-24 22:00:00
